Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
NUspb-010-StripPacking-10-0,11-26-25,,NUspb,StripPacking,,10,0,,0,1,0,0.28760300000000000,,39.0,39.0,0.0,7,3843.0
NUspb-111-StripPacking-10-0,11-26-25,,NUspb,StripPacking,,10,0,,1,1,1,4.538375000000000,,39.00000000000000,39.00000000000000,0.0,8,6767.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
NUspb-010-StripPacking-15-0,11-26-25,,NUspb,StripPacking,,15,0,,0,1,0,102.09389000000000,,45.0,45.00000000000000,0.0,10,65175.0
NUspb-111-StripPacking-15-0,11-26-25,,NUspb,StripPacking,,15,0,,1,1,1,304.16453799999999,,45.0,45.0,0.0,10,22317.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
NUspb-010-StripPacking-20-0,11-26-25,,NUspb,StripPacking,,20,0,,0,1,0,3600.0513740000001,,76.0,50.00000000000000,0.3421050000000000,10,750990.0
NUspb-111-StripPacking-20-0,11-26-25,,NUspb,StripPacking,,20,0,,1,1,1,3600.08541100000,,77.00000000000000,48.0,0.3766230000000000,10,56923.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
NUspb-010-StripPacking-25-0,11-26-25,,NUspb,StripPacking,,25,0,,0,1,0,3600.0606250000001,,70.0,34.0,0.5142860000000000,10,800551.0
NUspb-111-StripPacking-25-0,11-26-25,,NUspb,StripPacking,,25,0,,1,1,1,3600.1502129999999,,70.00000000000000,34.0,0.5142860000000000,10,123816.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
NUspb-010-StripPacking-35-0,11-26-25,,NUspb,StripPacking,,35,0,,0,1,0,3600.1351479999998,,93.0,48.0,0.4838710000000000,10,226351.0
