,,Time/Gap,
,,NU,SU,RU,HU,SB-L,SB-M
,,0.24s,0.79s,0.86s,0.36s,0.32s,0.88s
,,1.44s,1.87s,2.94s,6.46s,10.93s,20.62s
,,501s,188s,32.98s,140s,160s,2215s
,,412s,452s,188s,443s,1002s,1856s
,,39%,35%,37%,38%,37%,44%
,,41%,40%,43%,38%,42%,49%
,,49%,49%,52%,51%,53%,53%
,,51%,51%,52%,51%,50%,51%
,,50%,50%,53%,50%,52%,52%
,,49%,48%,51%,49%,48%,48%
,,76%,72%,82%,79%,70%,76%
,,75%,72%,74%,75%,77%,77%
,,,,,,,
,,Value,,,,,
,,39,39,39,39,39,39
,,39,39,39,39,39,39
,,45,45,45,45,45,45
,,45,45,45,45,45,45
,,79,77,78,77,79,81
,,78,77,80,78,79,80
,,71,71,71,70,72,72
,,70,70,71,70,68,69
,,96,96,102,96,99,99
,,94,93,97,95,92,93
,,164,168,190,163,171,173
,,153,151,155,160,156,152
,,,,,,,
,,Bound,,,,,
,,39,39,39,39,39,39
,,39,39,39,39,39,39
,,45,45,45,45,45,45
,,45,45,45,45,45,45
,,48,50,49,48,50,45
,,46,46,46,48,46,41
,,36,36,34,34,34,34
,,34,34,34,34,34,34
,,48,48,48,48,48,48
,,48,48,48,48,48,48
,,39,47,35,35,51,42
,,37.485207000000003,41.708768999999997,40.028584000000002,40,36.125442,35.430981000000003
,,,,,,,
,,Sol Count,,,,,
,,10,10,7,8,8,8
,,7,5,8,10,5,8
,,10,10,10,10,9,10
,,10,10,10,10,10,10
,,10,10,10,10,10,10
,,10,10,10,10,10,10
,,10,10,10,10,10,10
,,10,10,10,10,10,10
,,10,10,10,10,10,10
,,10,10,10,10,10,10
,,10,10,3,10,10,10
,,10,10,10,10,10,10
,,,,,,,
,,Node Count,,,,,
,,11360.00000,31724.00000,24961.00000,6516.00000,12685.00000,8685.00000
,,5032.00000,3606.00000,5143.00000,8243.00000,17596.00000,25606.00000
,,7150556.00000,764170.00000,65868.00000,200756.00000,715117.00000,8396456.00000
,,67594.00000,56670.00000,22482.00000,33956.00000,184050.00000,575016.00000
,,32083773.00000,14442358.00000,5554324.00000,2705958.00000,10299714.00000,7138090.00000
,,808481.00000,591190.00000,447597.00000,164372.00000,628767.00000,920245.00000
,,35882668.00000,14465173.00000,5601386.00000,2415871.00000,9168123.00000,6254614.00000
,,711561.00000,464098.00000,291570.00000,195842.00000,383142.00000,528142.00000
,,22185595.00000,8534328.00000,2800285.00000,1426926.00000,7015153.00000,4105699.00000
,,367208.00000,303841.00000,172821.00000,122731.00000,336737.00000,232142.00000
,,12065498.00000,4969454.00000,744482.00000,263549.00000,2425960.00000,1829748.00000
,,72057.00000,114165.00000,57084.00000,15514.00000,126057.00000,53486.00000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,

