Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SU-111-StripPacking-10,05/03/2024,,SU,StripPacking,,10,,1,1,1,7.79150390625,,38.99999999599999,38.99999999599999,0.0,8,11691.0
RU-111-StripPacking-10,05/03/2024,,RU,StripPacking,,10,,1,1,1,5.296692609786987,,39.0,39.0,0.0,8,6487.0
SBL-111-StripPacking-10,05/03/2024,,SBL,StripPacking,,10,,1,1,1,4.928803205490112,,38.99999999599997,38.99999999599997,0.0,6,13655.0
SBM-111-StripPacking-10,05/03/2024,,SBM,StripPacking,,10,,1,1,1,3.953031301498413,,39.0,39.0,0.0,8,6700.0
SU-110-StripPacking-10,05/03/2024,,SU,StripPacking,,10,,1,1,0,0.37491512298583984,,39.0,39.0,0.0,5,6749.0
RU-110-StripPacking-10,05/03/2024,,RU,StripPacking,,10,,1,1,0,0.5306696891784668,,39.0,39.0,0.0,6,9220.0
SBL-110-StripPacking-10,05/03/2024,,SBL,StripPacking,,10,,1,1,0,0.6850459575653076,,38.99999999599997,38.99999999599997,0.0,6,18720.0
SBM-110-StripPacking-10,05/03/2024,,SBM,StripPacking,,10,,1,1,0,0.9293146133422852,,39.0,39.0,0.0,8,14052.0
SU-011-StripPacking-10,05/03/2024,,SU,StripPacking,,10,,0,1,1,1.9108271598815918,,39.0,39.0,0.0,7,8620.0
RU-011-StripPacking-10,05/03/2024,,RU,StripPacking,,10,,0,1,1,4.199471473693848,,38.99999999599998,38.99999999599998,0.0,10,10454.0
SBL-011-StripPacking-10,05/03/2024,,SBL,StripPacking,,10,,0,1,1,1.7552504539489746,,38.999999995999985,38.999999995999985,0.0,7,13086.0
SBM-011-StripPacking-10,05/03/2024,,SBM,StripPacking,,10,,0,1,1,2.2663912773132324,,39.0,39.0,0.0,7,8394.0
SU-010-StripPacking-10,05/03/2024,,SU,StripPacking,,10,,0,1,0,0.21802520751953125,,39.0,39.0,0.0,8,7001.0
RU-010-StripPacking-10,05/03/2024,,RU,StripPacking,,10,,0,1,0,0.24957537651062012,,39.0,39.0,0.0,5,6808.0
SBL-010-StripPacking-10,05/03/2024,,SBL,StripPacking,,10,,0,1,0,0.26556849479675293,,39.0,39.0,0.0,5,10470.0
SBM-010-StripPacking-10,05/03/2024,,SBM,StripPacking,,10,,0,1,0,0.3261575698852539,,39.0,39.0,0.0,6,9773.0
,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SU-111-StripPacking-15,05/03/2024,,SU,StripPacking,,15,,1,1,1,10800.701424837112,,49.0,44.0,0.10204081632653061,10,954336.0
RU-111-StripPacking-15,05/03/2024,,RU,StripPacking,,15,,1,1,1,10800.444430112839,,48.999999994999996,47.0,0.040816326432736284,10,1056059.0
SBL-111-StripPacking-15,05/03/2024,,SBL,StripPacking,,15,,1,1,1,10800.416153907776,,49.999999994899994,44.0,0.1199999999102399,10,784715.0
SBM-111-StripPacking-15,05/04/2024,,SBM,StripPacking,,15,,1,1,1,10801.128458499908,,49.99999999489997,41.0,0.17999999991635957,10,1454520.0
SU-110-StripPacking-15,05/04/2024,,SU,StripPacking,,15,,1,1,0,10800.358172416687,,49.0,43.999999999999964,0.10204081632653134,10,1298582.0
RU-110-StripPacking-15,05/04/2024,,RU,StripPacking,,15,,1,1,0,10800.302972316742,,50.0,44.0,0.12,10,1183746.0
SBL-110-StripPacking-15,05/04/2024,,SBL,StripPacking,,15,,1,1,0,10800.90666770935,,49.999999994899994,42.0,0.1599999999143199,10,1320475.0
SBM-110-StripPacking-15,05/04/2024,,SBM,StripPacking,,15,,1,1,0,10800.646175384521,,49.999999994899994,42.0,0.1599999999143199,10,2946247.0
SU-011-StripPacking-15,05/04/2024,,SU,StripPacking,,15,,0,1,1,10800.187497138977,,49.0,46.0,0.061224489795918366,10,3152487.0
RU-011-StripPacking-15,05/04/2024,,RU,StripPacking,,15,,0,1,1,10621.248600244522,,49.0,49.0,0.0,10,2409126.0
SBL-011-StripPacking-15,05/04/2024,,SBL,StripPacking,,15,,0,1,1,10800.205550909042,,49.99999900874953,46.0,0.07999998176099106,10,2885440.0
SBM-011-StripPacking-15,05/05/2024,,SBM,StripPacking,,15,,0,1,1,10800.149322509766,,49.999999994899994,44.0,0.1199999999102399,10,2582035.0
SU-010-StripPacking-15,05/05/2024,,SU,StripPacking,,15,,0,1,0,10800.057038545609,,49.0,46.0,0.061224489795918366,10,11971669.0
RU-010-StripPacking-15,05/05/2024,,RU,StripPacking,,15,,0,1,0,7293.7912011146545,,49.0,49.0,0.0,10,6558891.0
SBL-010-StripPacking-15,05/05/2024,,SBL,StripPacking,,15,,0,1,0,10800.045284748077,,49.999999994899994,46.0,0.0799999999061599,10,22409960.0
SBM-010-StripPacking-15,05/05/2024,,SBM,StripPacking,,15,,0,1,0,10800.152280569077,,50.0,43.0,0.14,8,6617947.0
,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SU-111-StripPacking-20,05/05/2024,,SU,StripPacking,,20,,1,1,1,10800.692642450333,,77.99999999209999,41.99999999999987,0.4615384614839266,10,221320.0
