1/1 feasible solution given by solution candidate storage, new primal bound 1.062000e+02

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 1251 variables (1200 bin, 0 int, 51 cont) and 5725 constraints
   5725 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  1612 |     - |    17M |   0 |1251 |5725 |5725 |   0 |  0 |   0 |   0 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.5s|     1 |     2 |  2025 |     - |    18M |   0 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.1s|   100 |    99 | 16865 | 154.1 |    18M |  15 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.8s|   200 |   199 | 32201 | 153.7 |    18M |  19 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  2.5s|   300 |   299 | 46260 | 149.3 |    18M |  21 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  3.0s|   400 |   399 | 57390 | 139.8 |    19M |  29 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  3.5s|   500 |   497 | 66674 | 130.4 |    20M |  33 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  4.1s|   600 |   587 | 79771 | 130.5 |    20M |  39 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  4.5s|   700 |   669 | 86381 | 121.3 |    21M |  76 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  4.9s|   800 |   755 | 93491 | 115.0 |    21M |  82 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  5.4s|   900 |   833 |102742 | 112.5 |    21M |  82 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  6.0s|  1000 |   919 |112445 | 110.9 |    21M |  82 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  6.4s|  1100 |  1007 |120610 | 108.3 |    21M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  6.9s|  1200 |  1093 |127980 | 105.4 |    22M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  7.3s|  1300 |  1185 |136979 | 104.2 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  7.7s|  1400 |  1279 |145257 | 102.7 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  8.1s|  1500 |  1373 |151787 | 100.2 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  8.5s|  1600 |  1467 |159096 |  98.5 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  9.0s|  1700 |  1559 |169056 |  98.6 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  9.4s|  1800 |  1641 |179628 |  99.0 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  9.9s|  1900 |  1733 |188311 |  98.3 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 10.4s|  2000 |  1817 |198395 |  98.4 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 11.0s|  2100 |  1911 |210145 |  99.3 |    23M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 11.5s|  2200 |  2003 |219626 |  99.1 |    24M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 12.1s|  2300 |  2101 |232022 | 100.2 |    24M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 12.6s|  2400 |  2197 |241193 |  99.9 |    24M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 13.1s|  2500 |  2289 |249096 |  99.0 |    24M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 13.5s|  2600 |  2367 |257187 |  98.3 |    24M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 13.9s|  2700 |  2445 |263592 |  97.1 |    24M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 14.3s|  2800 |  2515 |271011 |  96.2 |    24M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 14.9s|  2900 |  2597 |281286 |  96.5 |    25M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 15.4s|  3000 |  2677 |289942 |  96.1 |    25M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 15.8s|  3100 |  2755 |296058 |  95.0 |    26M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 16.2s|  3200 |  2833 |303771 |  94.5 |    26M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 16.5s|  3300 |  2899 |308166 |  92.9 |    26M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 16.9s|  3400 |  2957 |315248 |  92.3 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 17.4s|  3500 |  3045 |324041 |  92.1 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 17.8s|  3600 |  3115 |329304 |  91.1 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 18.2s|  3700 |  3187 |336386 |  90.5 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 18.6s|  3800 |  3255 |344713 |  90.3 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 19.1s|  3900 |  3319 |351714 |  89.8 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 19.5s|  4000 |  3395 |359043 |  89.4 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 20.0s|  4100 |  3459 |366915 |  89.1 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 20.4s|  4200 |  3529 |374596 |  88.8 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 20.9s|  4300 |  3593 |382908 |  88.7 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 21.3s|  4400 |  3663 |390505 |  88.4 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 21.7s|  4500 |  3727 |396413 |  87.8 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
