1/1 feasible solution given by solution candidate storage, new primal bound 9.790000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 651 variables (600 bin, 0 int, 51 cont) and 3625 constraints
   3625 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   317 |     - |    12M |   0 | 651 |3625 |3625 |   0 |  0 |   0 |   0 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.5s|     1 |     2 |   335 |     - |    12M |   0 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.6s|   100 |   101 |  1109 |   8.0 |    12M |  99 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.8s|   200 |   201 |  2338 |  10.2 |    13M | 199 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.9s|   300 |   287 |  3621 |  11.1 |    13M | 235 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.0s|   400 |   357 |  5906 |  14.0 |    13M | 235 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.2s|   500 |   435 |  7544 |  14.5 |    13M | 235 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.3s|   600 |   525 |  9789 |  15.8 |    13M | 267 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.5s|   700 |   595 | 11469 |  16.0 |    13M | 308 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.7s|   800 |   693 | 14715 |  18.0 |    13M | 308 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.8s|   900 |   787 | 16882 |  18.4 |    15M | 308 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.9s|  1000 |   861 | 18192 |  17.9 |    15M | 308 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.1s|  1100 |   937 | 19631 |  17.6 |    15M | 308 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.2s|  1200 |  1001 | 21225 |  17.4 |    15M | 308 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.3s|  1300 |  1079 | 22656 |  17.2 |    15M | 308 | 651 |3625 |3625 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
