1/1 feasible solution given by solution candidate storage, new primal bound 9.790000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 951 variables (600 bin, 0 int, 351 cont) and 5425 constraints
   5425 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1019 |     - |    15M |   0 | 951 |5425 |5425 |   0 |  0 |   0 |   0 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.3s|     1 |     2 |  1059 |     - |    16M |   0 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.5s|   100 |   101 |  2269 |  12.6 |    16M |  85 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.8s|   200 |   197 |  3366 |  11.8 |    16M | 184 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.9s|   300 |   287 |  4195 |  10.6 |    17M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.1s|   400 |   359 |  5287 |  10.7 |    18M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.3s|   500 |   437 |  6831 |  11.6 |    18M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.5s|   600 |   501 |  8095 |  11.8 |    18M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.7s|   700 |   555 |  9254 |  11.8 |    19M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.1s|   800 |   613 | 15022 |  17.5 |    19M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
