1/1 feasible solution given by solution candidate storage, new primal bound 9.790000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 1251 variables (1200 bin, 0 int, 51 cont) and 3925 constraints
   3925 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1262 |     - |    13M |   0 |1251 |3925 |3925 |   0 |  0 |   0 |   0 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.3s|     1 |     2 |  1727 |     - |    14M |   0 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.5s|   100 |    91 |  2987 |  17.4 |    14M |  95 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.6s|   200 |   135 |  4461 |  16.1 |    14M | 124 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.8s|   300 |   173 |  6697 |  18.2 |    14M | 124 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.0s|   400 |   201 |  8058 |  17.0 |    14M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.1s|   500 |   223 |  9891 |  17.3 |    14M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.3s|   600 |   233 | 11937 |  17.8 |    14M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.4s|   700 |   253 | 13210 |  17.1 |    14M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.6s|   800 |   275 | 14731 |  16.9 |    15M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.7s|   900 |   315 | 16307 |  16.7 |    15M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.9s|  1000 |   327 | 18048 |  16.8 |    15M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.1s|  1100 |   393 | 20007 |  17.1 |    15M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.2s|  1200 |   463 | 22430 |  17.7 |    15M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.4s|  1300 |   531 | 24560 |  17.9 |    15M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  2.6s|  1400 |   579 | 26674 |  18.2 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.8s|  1500 |   627 | 27997 |  17.8 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.9s|  1600 |   663 | 29839 |  17.9 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  3.1s|  1700 |   719 | 32420 |  18.3 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  3.3s|  1800 |   759 | 34104 |  18.3 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  3.5s|  1900 |   809 | 36415 |  18.5 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  3.7s|  2000 |   861 | 38385 |  18.6 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  3.8s|  2100 |   905 | 40119 |  18.5 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  4.0s|  2200 |   971 | 42606 |  18.8 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  4.2s|  2300 |  1055 | 44650 |  18.9 |    16M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  4.7s|  2400 |  1141 | 57226 |  23.3 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  5.0s|  2500 |  1203 | 64347 |  25.2 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  5.3s|  2600 |  1247 | 68753 |  26.0 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  5.6s|  2700 |  1295 | 77338 |  28.2 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  5.8s|  2800 |  1337 | 81418 |  28.6 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.1s|  2900 |  1365 | 87574 |  29.8 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  6.4s|  3000 |  1405 | 93015 |  30.6 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  6.6s|  3100 |  1423 | 98826 |  31.5 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  6.9s|  3200 |  1449 |104773 |  32.4 |    17M | 134 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  7.1s|  3300 |  1483 |107202 |  32.1 |    17M | 148 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  7.4s|  3400 |  1519 |114458 |  33.3 |    17M | 161 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  7.6s|  3500 |  1549 |119718 |  33.9 |    18M | 161 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  7.9s|  3600 |  1583 |125594 |  34.5 |    18M | 161 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  8.3s|  3700 |  1625 |132491 |  35.5 |    18M | 161 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  8.5s|  3800 |  1643 |134891 |  35.2 |    18M | 161 |1251 |3925 |3925 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
