Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
NU-111-StripPacking-15-0,12-12-25,,NU,StripPacking,,15,0,,1,1,1,,,60.0,32.0,0.4666670000000000,,
NU-111-StripPacking-15-1,12-12-25,,NU,StripPacking,,15,1,,1,1,1,,,50.0,50.0,0.0,,
NU-111-StripPacking-15-2,12-12-25,,NU,StripPacking,,15,2,,1,1,1,,,53.0,45.0,0.1509430000000000,,
NU-111-StripPacking-15-3,12-12-25,,NU,StripPacking,,15,3,,1,1,1,,,62.1,30.0,0.5169080000000000,,
NU-111-StripPacking-25-0,12-12-25,,NU,StripPacking,,25,0,,1,1,1,,,106.2,34.0,0.67984900000000,,
NU-111-StripPacking-25-1,12-12-25,,NU,StripPacking,,25,1,,1,1,1,,,99.2,43.0,0.5665320000000000,,
NU-111-StripPacking-25-2,12-12-25,,NU,StripPacking,,25,2,,1,1,1,,,97.9,41.0,0.5812050000000000,,
NU-111-StripPacking-25-3,12-12-25,,NU,StripPacking,,25,3,,1,1,1,,,93.4,36.0,0.6145610000000000,,
,,,,,,,,,,,,,,,,,,
SU-111-StripPacking-15-0,12-12-25,,SU,StripPacking,,15,0,,1,1,1,,,54.0,32.0,0.4074070000000000,,
SU-111-StripPacking-15-1,12-12-25,,SU,StripPacking,,15,1,,1,1,1,,,51.0,50.0,0.0196080000000000,,
SU-111-StripPacking-15-2,12-12-25,,SU,StripPacking,,15,2,,1,1,1,,,55.0,45.0,0.18181800000000001,,
SU-111-StripPacking-15-3,12-12-25,,SU,StripPacking,,15,3,,1,1,1,,,53.0,30.0,0.4339620000000000,,
SU-111-StripPacking-25-0,12-12-25,,SU,StripPacking,,25,0,,1,1,1,,,106.2,34.0,0.67984900000000,,
SU-111-StripPacking-25-1,12-12-25,,SU,StripPacking,,25,1,,1,1,1,,,99.2,43.0,0.5665320000000000,,
SU-111-StripPacking-25-2,12-12-25,,SU,StripPacking,,25,2,,1,1,1,,,97.9,41.0,0.5812050000000000,,
SU-111-StripPacking-25-3,12-12-25,,SU,StripPacking,,25,3,,1,1,1,,,93.4,36.0,0.6145610000000000,,
,,,,,,,,,,,,,,,,,,
RU-111-StripPacking-15-0,12-13-25,,RU,StripPacking,,15,0,,1,1,1,,,62.1,34.0,0.4524960000000000,,
RU-111-StripPacking-15-1,12-13-25,,RU,StripPacking,,15,1,,1,1,1,,,56.0,50.0,0.10714300000000000,,
RU-111-StripPacking-15-2,12-13-25,,RU,StripPacking,,15,2,,1,1,1,,,78.1,45.0,0.42381600000000003,,
RU-111-StripPacking-15-3,12-13-25,,RU,StripPacking,,15,3,,1,1,1,,,62.1,30.0,0.5169080000000000,,
RU-111-StripPacking-25-0,12-13-25,,RU,StripPacking,,25,0,,1,1,1,,,106.2,34.0,0.67984900000000,,
RU-111-StripPacking-25-1,12-13-25,,RU,StripPacking,,25,1,,1,1,1,,,99.2,43.0,0.5665320000000000,,
RU-111-StripPacking-25-2,12-13-25,,RU,StripPacking,,25,2,,1,1,1,,,97.9,41.0,0.5812050000000000,,
RU-111-StripPacking-25-3,12-13-25,,RU,StripPacking,,25,3,,1,1,1,,,93.4,36.0,0.6145610000000000,,
,,,,,,,,,,,,,,,,,,
HU-111-StripPacking-15-0,12-13-25,,HU,StripPacking,,15,0,,1,1,1,,,62.1,32.0,0.48470200000000002,,
HU-111-StripPacking-15-1,12-13-25,,HU,StripPacking,,15,1,,1,1,1,,,77.0,50.0,0.35064899999999999,,
HU-111-StripPacking-15-2,12-13-25,,HU,StripPacking,,15,2,,1,1,1,,,78.1,45.0,0.42381600000000003,,
HU-111-StripPacking-15-3,12-13-25,,HU,StripPacking,,15,3,,1,1,1,,,62.1,30.0,0.5169080000000000,,
HU-111-StripPacking-25-0,12-13-25,,HU,StripPacking,,25,0,,1,1,1,,,106.2,34.0,0.67984900000000,,
HU-111-StripPacking-25-1,12-13-25,,HU,StripPacking,,25,1,,1,1,1,,,99.2,43.0,0.5665320000000000,,
HU-111-StripPacking-25-2,12-13-25,,HU,StripPacking,,25,2,,1,1,1,,,97.9,41.0,0.5812050000000000,,
HU-111-StripPacking-25-3,12-13-25,,HU,StripPacking,,25,3,,1,1,1,,,93.4,36.0,0.6145610000000000,,
,,,,,,,,,,,,,,,,,,
