***2D Rectangular Problem***
***Problem tests for the Open Dimension Problem (ODP/S)***
Input parameter file: C:\Users\jfravel\OneDrive\Research\Packing\InstancedModels\Data\2DCPG-Input.txt
***********************************************************************
Total number of instances 
Number of different large objects (j)
LargeObject[j].Width	LargeObject[j].Value
Number of different item types (i)
Item[i].Length	Item[i].Width	Item[i].Demand
***********************************************************************
4
1
100	100
50
9	11	0
16	13	0
6	11	0
16	13	0
6	13	0
6	6	0
15	8	0
15	8	0
7	16	0
11	9	0
10	10	0
9	10	0
19	12	0
14	8	0
14	9	0
16	12	0
13	8	0
14	19	0
20	7	0
13	10	0
16	10	0
22	8	0
9	14	0
8	16	0
10	17	0
16	9	0
7	7	0
8	19	0
17	7	0
16	15	0
6	20	0
18	17	0
12	9	0
15	6	0
5	13	0
12	9	0
10	11	0
6	7	0
17	13	0
18	21	0
10	6	0
9	10	0
15	13	0
16	9	0
16	10	0
10	14	0
9	7	0
12	11	0
15	9	0
12	7	0
1
100	100
50
12	11	0
21	10	0
19	9	0
10	7	0
9	10	0
12	8	0
12	10	0
15	9	0
11	15	0
10	10	0
13	10	0
12	10	0
12	14	0
15	8	0
17	13	0
14	11	0
7	10	0
13	11	0
12	15	0
8	5	0
8	11	0
10	16	0
16	6	0
7	10	0
8	8	0
21	16	0
7	16	0
6	12	0
9	14	0
12	7	0
10	6	0
11	11	0
9	14	0
9	7	0
7	16	0
16	14	0
13	18	0
17	17	0
8	10	0
10	15	0
19	8	0
12	11	0
14	22	0
9	14	0
11	15	0
11	7	0
11	11	0
11	10	0
9	8	0
7	9	0
1
100	100
50
20	5	0
15	8	0
6	10	0
15	14	0
10	7	0
14	10	0
15	16	0
11	16	0
7	19	0
15	13	0
9	11	0
10	16	0
15	11	0
13	9	0
5	13	0
19	24	0
8	13	0
10	17	0
18	10	0
12	9	0
14	12	0
19	17	0
12	5	0
19	12	0
15	11	0
19	12	0
7	7	0
6	7	0
8	23	0
11	8	0
9	15	0
10	6	0
10	15	0
6	6	0
12	19	0
6	6	0
12	11	0
7	11	0
12	19	0
9	8	0
12	11	0
8	9	0
15	12	0
12	17	0
12	9	0
15	14	0
13	24	0
8	16	0
11	14	0
15	6	0
1
100	100
50
14	7	0
12	10	0
12	11	0
11	12	0
12	9	0
8	20	0
15	7	0
10	13	0
7	19	0
11	10	0
12	9	0
12	21	0
8	9	0
12	16	0
5	15	0
9	9	0
8	9	0
25	10	0
10	8	0
5	8	0
10	11	0
9	11	0
12	10	0
8	16	0
10	14	0
11	16	0
10	6	0
16	9	0
8	18	0
11	13	0
13	13	0
7	7	0
14	11	0
19	9	0
21	12	0
5	8	0
10	16	0
11	22	0
20	16	0
12	12	0
8	7	0
15	13	0
11	11	0
6	10	0
15	7	0
11	9	0
11	11	0
10	8	0
10	17	0
14	10	0
