Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBL-StripPacking-10,4/22/2024,,SB,L,StripPacking,,10,,1,1,1,5.231702805,,143,143,0,2,5721
SBL-StripPacking-10,4/22/2024,,SB,L,StripPacking,,10,,1,0,0,0.523025513,,143,143,0,1,8969
SBL-StripPacking-10,4/22/2024,,SB,L,StripPacking,,10,,0,1,0,0.187451601,,143,143,0,2,7494
SBL-StripPacking-10,4/22/2024,,SB,L,StripPacking,,10,,0,0,1,2.798965454,,143,143,0,3,10012
SBL-StripPacking-10,4/22/2024,,SB,L,StripPacking,,10,,1,1,0,0.67134881,,143,143,0,2,15294
SBL-StripPacking-10,4/22/2024,,SB,L,StripPacking,,10,,1,0,1,2.129925489,,143,143,0,2,7730
SBL-StripPacking-10,4/22/2024,,SB,L,StripPacking,,10,,0,1,1,7.166463137,,143,143,0,2,14210
SBL-StripPacking-10,4/22/2024,,SB,L,StripPacking,,10,,0,0,0,0.218334436,,143,143,0,2,7907
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBL-StripPacking-15,4/22/2024,,SB,L,StripPacking,,15,,1,1,1,3.77055192,,300,300,0,1,5715
SBL-StripPacking-15,4/22/2024,,SB,L,StripPacking,,15,,1,0,0,1.609929323,,300,300,0,1,9439
SBL-StripPacking-15,4/22/2024,,SB,L,StripPacking,,15,,0,1,0,0.608867168,,300,300,0,1,8578
SBL-StripPacking-15,4/22/2024,,SB,L,StripPacking,,15,,0,0,1,0.730624914,,300,300,0,1,8052
SBL-StripPacking-15,4/22/2024,,SB,L,StripPacking,,15,,1,1,0,1.211433649,,300,300,0,1,6389
SBL-StripPacking-15,4/22/2024,,SB,L,StripPacking,,15,,1,0,1,1.960998535,,300,300,0,1,12628
SBL-StripPacking-15,4/22/2024,,SB,L,StripPacking,,15,,0,1,1,2.937127113,,300,300,0,1,4709
SBL-StripPacking-15,4/22/2024,,SB,L,StripPacking,,15,,0,0,0,0.539513111,,300,300,0,1,7422
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBL-StripPacking-18,4/22/2024,,SB,L,StripPacking,,18,,1,1,1,38.01227117,,238,238,0,10,17881
SBL-StripPacking-18,4/22/2024,,SB,L,StripPacking,,18,,1,0,0,8.094018459,,238,238,0,10,24255
SBL-StripPacking-18,4/22/2024,,SB,L,StripPacking,,18,,0,1,0,2.473791122,,238,238,0,10,21949
SBL-StripPacking-18,4/22/2024,,SB,L,StripPacking,,18,,0,0,1,9.690899849,,238,238,0,10,4971
SBL-StripPacking-18,4/22/2024,,SB,L,StripPacking,,18,,1,1,0,4.251560688,,238,238,0,10,15700
SBL-StripPacking-18,4/22/2024,,SB,L,StripPacking,,18,,1,0,1,25.96069932,,238,238,0,10,6502
SBL-StripPacking-18,4/22/2024,,SB,L,StripPacking,,18,,0,1,1,6.498415947,,238,238,0,10,4088
SBL-StripPacking-18,4/22/2024,,SB,L,StripPacking,,18,,0,0,0,1.971894741,,238,238,0,10,17534
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBL-StripPacking-19,4/22/2024,,SB,L,StripPacking,,19,,1,1,1,49.33773255,,338,338,0,5,26299
SBL-StripPacking-19,4/22/2024,,SB,L,StripPacking,,19,,1,0,0,21.74728918,,338,338,0,7,100618
SBL-StripPacking-19,4/22/2024,,SB,L,StripPacking,,19,,0,1,0,10.45692921,,338,338,0,10,74612
SBL-StripPacking-19,4/22/2024,,SB,L,StripPacking,,19,,0,0,1,40.53975415,,338,338,0,7,27675
SBL-StripPacking-19,4/22/2024,,SB,L,StripPacking,,19,,1,1,0,20.75956988,,338,338,0,7,84826
SBL-StripPacking-19,4/22/2024,,SB,L,StripPacking,,19,,1,0,1,50.84850049,,338,338,0,9,51867
SBL-StripPacking-19,4/22/2024,,SB,L,StripPacking,,19,,0,1,1,73.16287136,,338,338,0,8,26564
SBL-StripPacking-19,4/22/2024,,SB,L,StripPacking,,19,,0,0,0,13.03108525,,338,338,0,6,76436
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBL-StripPacking-20,4/22/2024,,SB,L,StripPacking,,20,,1,1,1,714.3250215,,299,299,0,10,211896
SBL-StripPacking-20,4/22/2024,,SB,L,StripPacking,,20,,1,0,0,867.3844123,,299,299,0,10,297062
SBL-StripPacking-20,4/22/2024,,SB,L,StripPacking,,20,,0,1,0,157.506386,,299,299,0,10,921505
SBL-StripPacking-20,4/22/2024,,SB,L,StripPacking,,20,,0,0,1,191.0281498,,299,299,0,10,116360
SBL-StripPacking-20,4/22/2024,,SB,L,StripPacking,,20,,1,1,0,1383.479355,,299,299,0,10,559867
SBL-StripPacking-20,4/22/2024,,SB,L,StripPacking,,20,,1,0,1,310.2170072,,299,299,0,10,66872
SBL-StripPacking-20,4/22/2024,,SB,L,StripPacking,,20,,0,1,1,241.5262179,,299,299,0,10,143575
SBL-StripPacking-20,4/22/2024,,SB,L,StripPacking,,20,,0,0,0,325.9990554,,299,299,0,10,837817
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBL-StripPacking-21,4/22/2024,,SB,L,StripPacking,,21,,1,1,1,74.00786734,,282,282,0,10,8214
SBL-StripPacking-21,4/22/2024,,SB,L,StripPacking,,21,,1,0,0,150.9252539,,282,282,0,9,125556
SBL-StripPacking-21,4/22/2024,,SB,L,StripPacking,,21,,0,1,0,8.485910892,,282,282,0,10,36534
SBL-StripPacking-21,4/22/2024,,SB,L,StripPacking,,21,,0,0,1,8.162857056,,282,282,0,10,9155
SBL-StripPacking-21,4/22/2024,,SB,L,StripPacking,,21,,1,1,0,42.28518152,,282,282,0,10,57367
SBL-StripPacking-21,4/22/2024,,SB,L,StripPacking,,21,,1,0,1,54.07103562,,282,282,0,10,17097
SBL-StripPacking-21,4/22/2024,,SB,L,StripPacking,,21,,0,1,1,33.67845774,,282,282,0,8,10213
SBL-StripPacking-21,4/22/2024,,SB,L,StripPacking,,21,,0,0,0,21.95363951,,282,282,0,10,56105
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBL-StripPacking-22,4/22/2024,,SB,L,StripPacking,,22,,1,1,1,3600.659647,,245,226,0.07755102,10,390608
SBL-StripPacking-22,4/22/2024,,SB,L,StripPacking,,22,,1,0,0,3600.30276,,243,230,0.053497942,10,687348
SBL-StripPacking-22,4/22/2024,,SB,L,StripPacking,,22,,0,1,0,3600.075223,,243,230,0.053497942,10,9369059
SBL-StripPacking-22,4/22/2024,,SB,L,StripPacking,,22,,0,0,1,3600.087965,,243,230,0.053497942,10,982786
SBL-StripPacking-22,4/22/2024,,SB,L,StripPacking,,22,,1,1,0,3600.350172,,245,230,0.06122449,10,819349
SBL-StripPacking-22,4/22/2024,,SB,L,StripPacking,,22,,1,0,1,3604.280494,,243,230,0.053497942,10,402039
SBL-StripPacking-22,4/22/2024,,SB,L,StripPacking,,22,,0,1,1,3600.136309,,243,230,0.053497942,10,870905
SBL-StripPacking-22,4/22/2024,,SB,L,StripPacking,,22,,0,0,0,3600.054762,,244,230,0.057377049,10,2641398
